Actual,Predicted
2667.57006835937,2550.8613
2611.30004882812,2597.155
2614.40991210937,2529.2764
2633.44995117188,2556.3271
2592.169921875,2556.2656
2584.0400390625,2521.8374
2657.36010742188,2523.0642
2645.82006835937,2587.111
2617.17993164062,2561.585
2638.40991210937,2550.6377
2643.88989257812,2568.5789
2653.830078125,2568.1892
2676.89990234375,2581.191
2670.10009765625,2599.3032
2692.73999023437,2591.22
2710.11010742188,2617.49
2701.15991210937,2626.0522
2692.56005859375,2620.0098
2675.39990234375,2613.8755
2680.80004882813,2597.3306
2634.919921875,2606.119
2651.64990234375,2556.412
2675.46997070312,2586.2598
2682.51000976562,2594.0076
2642.9599609375,2604.3298
2654.23999023437,2565.3599
2628.080078125,2586.5574
2621.44995117188,2550.2444
2680.34008789063,2556.0815
2670.26000976562,2605.9585
2678.1201171875,2585.3157
2705.02001953125,2606.0
2722.69995117187,2622.8052
2738.46997070312,2639.5967
2718.59008789062,2653.3093
2712.6201171875,2632.5208
2719.7099609375,2634.1455
2717.35009765625,2636.43
2735.38989257812,2634.4177
2738.34008789062,2653.0933
2713.97998046875,2650.1716
2730.93994140625,2630.1973
2723.60009765625,2651.114
2705.11010742187,2635.4592
2702.42993164062,2625.2964
2720.97998046875,2622.5525
2718.69995117187,2639.4812
2741.669921875,2633.1628
2748.4599609375,2659.6418
2753.25,2658.4102
2774.84008789063,2667.7634
2765.84008789062,2685.591
2780.17993164062,2673.661
2785.60009765625,2693.8186
2787.93994140625,2691.3066
2783.2099609375,2698.1619
2777.78002929687,2691.165
2765.7900390625,2688.145
2752.01000976562,2676.1167
2769.72998046875,2664.906
2769.28002929687,2683.5017
2760.7900390625,2676.5212
2742.93994140625,2673.7163
2722.1201171875,2655.908
2728.44995117187,2639.5
2698.68994140625,2647.1533
2727.1298828125,2613.736
2704.94995117187,2651.5046
2733.27001953125,2614.7256
2724.18994140625,2658.1753
2737.67993164062,2632.8694
2775.6201171875,2658.985
2788.56005859375,2685.3613
2779.82006835937,2694.73
2783.13989257812,2688.847
2796.92993164062,2693.9053
2797.36010742187,2704.9314
2789.34008789063,2702.7153
2811.35009765625,2697.3606
2809.3701171875,2720.009
2804.55004882812,2710.724
2799.169921875,2712.5576
2820.67993164062,2705.2605
2817.72998046875,2727.7651
2835.48999023437,2718.338
2842.35009765625,2742.1228
2819.0,2740.4087
2809.72998046875,2721.015
2821.169921875,2717.8228
2800.47998046875,2725.7588
2829.6201171875,2703.605
2840.2900390625,2739.7185
2855.919921875,2736.488
2856.7900390625,2758.2158
2857.18994140625,2753.16
2838.89990234375,2757.6907
2835.4599609375,2737.8464
2827.8798828125,2739.9746
2827.94995117187,2728.7036
2831.43994140625,2732.2703
2838.32006835937,2734.1743
2853.92993164063,2740.2131
2861.51000976563,2754.5479
2860.98999023437,2758.94
2860.2900390625,2759.7844
2862.35009765625,2758.8428
2884.68994140625,2760.8254
2901.44995117187,2782.4607
2900.6201171875,2793.0007
2908.93994140625,2792.7852
2898.3701171875,2802.924
2896.9599609375,2788.8633
2891.59008789062,2793.0852
2888.63989257813,2784.2747
2868.26000976562,2784.4075
2881.38989257813,2763.5115
2871.57006835937,2781.8376
2888.2900390625,2763.9897
2896.85009765625,2788.7195
2906.3798828125,2787.3608
2903.830078125,2801.063
2890.73999023437,2794.8735
2906.60009765625,2784.6458
2919.72998046875,2802.3335
2936.76000976562,2808.7026
2921.830078125,2826.4263
2921.75,2807.9565
2916.97998046875,2815.9053
2911.64990234375,2805.609
2910.03002929688,2803.9238
2926.2900390625,2801.6895
2923.80004882812,2817.8943
2931.68994140625,2810.8853
2919.35009765625,2823.2039
2902.5400390625,2806.5503
2877.53002929687,2796.6125
2882.51000976562,2772.177
2873.89990234375,2781.6177
2776.8701171875,2767.328
2770.5400390625,2679.1484
2763.830078125,2694.4365
2767.05004882812,2668.5957
2811.669921875,2682.5244
2802.0,2720.0898
2775.65991210937,2701.4023
2773.93994140625,2688.1248
2721.03002929687,2685.317
2737.8701171875,2632.6494
2674.8798828125,2663.0212
2667.86010742187,2585.1096
2682.64990234375,2602.4612
2640.67993164062,2601.0015
2705.60009765625,2563.812
2717.580078125,2636.8406
2745.44995117187,2623.42
2726.3701171875,2666.6455
2738.39990234375,2634.825
2774.1298828125,2661.6362
2806.3798828125,2683.7139
2794.10009765625,2713.0254
2773.92993164062,2697.3413
2730.05004882812,2685.955
2737.89990234375,2643.1443
2693.52001953125,2659.528
2718.5400390625,2605.5833
2730.73999023438,2646.2825
2654.60009765625,2640.4165
2657.73999023437,2574.7039
2633.36010742187,2593.1833
2649.96997070312,2553.8533
2663.75,2582.955
2691.44995117187,2584.3035
2736.96997070313,2615.103
2737.76000976562,2652.2734
2790.5,2648.0557
2782.42993164063,2706.341
2663.51000976562,2682.1416
2691.26000976562,2582.8738
2630.86010742188,2629.8542
2664.43994140625,2543.1316
2658.22998046875,2605.6975
2658.69995117187,2571.9595
2629.67993164062,2589.9573
2590.75,2553.3408
2559.89990234375,2525.8184
2547.05004882813,2497.215
2496.77001953125,2486.7268
2465.3798828125,2437.386
2400.56005859375,2416.2263
