Predicted,Actual
24.844146728515625,24.95
24.887344360351562,25.62
25.628219604492188,26.16
26.096900939941406,26.48
26.263568878173828,25.83
24.834915161132812,24.6
23.189884185791016,23.34
22.174524307250977,22.37
21.533679962158203,22.07
21.5803279876709,21.92
21.565732955932617,21.17
20.41045379638672,20.55
19.992904663085938,18.71
17.895612716674805,17.38
16.933631896972656,16.91
16.65591812133789,16.97
17.025392532348633,16.64
16.409679412841797,16.99
17.442005157470703,17.69
18.6053466796875,18.29
19.158998489379883,18.52
18.83631134033203,18.84
19.106359481811523,17.73
16.844697952270508,16.83
16.185302734375,16.79
16.530454635620117,17.43
17.807231903076172,17.39
17.269399642944336,17.27
17.090869903564453,17.19
17.031511306762695,17.23
17.26858901977539,17.09
16.99386978149414,16.8
16.467350006103516,16.76
16.60995864868164,16.65
16.44230079650879,16.48
16.30071258544922,16.43
16.344249725341797,16.26
16.073406219482422,15.82
15.476284980773926,15.38
15.080806732177734,15.04
14.791372299194336,15.74
16.429655075073242,16.84
17.955913543701172,18.39
19.913707733154297,20.45
22.05877685546875,21.35
22.02154541015625,22.07
22.44179916381836,23.57
24.16431999206543,23.13
22.699556350708008,23.08
22.499841690063477,22.85
22.06519317626953,22.62
21.886558532714844,21.19
19.833412170410156,19.61
18.653467178344727,19.35
19.016820907592773,19.24
18.90624237060547,18.31
17.67623519897461,18.0
17.73405647277832,15.82
15.013461112976074,14.85
14.609173774719238,14.09
13.728696823120117,13.6
13.431830406188965,13.39
13.319413185119629,12.53
12.09819507598877,12.3
12.346866607666016,12.75
13.471392631530762,13.54
14.804560661315918,14.34
15.407283782958984,14.93
15.58014965057373,16.14
17.187091827392578,16.86
17.37600326538086,17.85
18.466115951538086,17.85
17.61338233947754,18.74
18.921363830566406,19.02
18.82073211669922,19.33
19.1829833984375,18.95
18.289140701293945,18.08
17.12353515625,17.41
16.717483520507812,16.61
15.94983959197998,16.12
15.69719123840332,15.01
14.381707191467285,14.03
13.614187240600586,13.33
12.97214126586914,13.04
12.948413848876953,12.12
11.736647605895996,11.37
11.113645553588867,10.94
10.792601585388184,10.56
10.496865272521973,11.73
13.454218864440918,13.26
15.048182487487793,15.16
17.040714263916016,17.15
18.669687271118164,19.03
20.22018051147461,20.33
